calories,protein,total_fat,carbohydrate,fiber,sugars,Cluster
184,11.28,11.0,10.33,1.6,3.53,0
46,3.06,1.4,6.68,0.7,2.72,0
73,0.41,0.6,17.91,1.8,0.0,0
63,1.02,0.3,15.79,1.4,12.3,0
312,8.41,18.0,31.25,1.0,11.23,2
348,0.0,0.0,91.6,0.0,0.0,2
526,9.3,33.0,51.6,9.9,0.79,2
64,3.9,0.8,10.3,3.9,4.13,0
171,13.68,12.0,1.15,0.0,0.0,3
82,14.91,1.0,2.2,0.0,0.0,3
197,21.0,9.0,8.0,4.6,1.2,3
239,32.4,12.0,0.0,0.0,0.0,3
78,8.64,0.2,10.37,0.5,9.54,0
459,5.6,16.0,74.2,1.6,26.7,5
356,22.6,28.0,2.87,0.0,2.87,3
404,14.66,9.1,65.7,6.5,0.8,2
106,1.97,5.0,13.29,1.9,1.76,0
446,8.5,16.0,71.86,6.9,0.61,2
138,4.54,2.1,25.16,1.2,0.4,0
33,0.8,0.4,7.49,0.0,0.0,0
433,14.25,13.0,64.35,3.8,2.35,2
337,22.33,1.5,60.75,15.3,3.88,1
609,2.94,44.0,50.07,2.9,47.06,5
386,11.0,3.4,76.2,3.2,8.27,2
28,2.98,0.4,5.06,2.3,1.48,0
76,1.69,5.1,5.08,0.0,1.69,0
45,2.88,2.1,3.29,0.4,2.47,0
274,24.7,18.0,3.5,0.0,0.55,3
85,0.4,0.1,21.95,2.2,19.72,0
44,1.68,0.2,9.96,2.0,7.96,0
43,0.5,0.1,9.9,0.4,8.4,0
175,4.09,5.1,29.18,0.0,0.0,0
168,17.89,9.2,2.13,0.0,0.0,3
273,10.43,13.0,27.97,1.3,3.57,2
59,2.6,1.4,9.0,0.0,5.0,0
31,0.64,0.6,6.91,1.5,2.76,0
39,2.31,0.5,6.41,3.4,3.22,0
87,14.07,3.4,0.85,0.0,0.0,3
136,18.74,4.6,3.53,0.0,0.0,3
211,17.42,15.0,0.0,0.0,0.0,3
884,0.0,100.0,0.0,0.0,0.0,4
462,7.7,23.0,65.5,1.9,46.2,5
512,6.62,27.0,63.96,2.2,52.53,5
459,5.4,22.0,64.8,2.0,54.0,5
278,0.01,3.7,50.0,1.8,7.71,2
225,11.23,16.0,8.46,1.5,8.46,3
57,3.3,0.9,10.5,2.6,2.3,0
51,2.0,1.1,9.7,3.1,4.2,0
36,0.8,1.1,6.5,1.0,3.7,0
492,7.23,23.0,63.51,2.3,8.14,2
260,11.85,12.0,27.45,0.0,0.0,3
318,12.01,17.0,56.63,27.2,10.34,1
463,5.4,18.0,71.0,2.7,36.3,5
118,7.53,7.1,6.1,0.5,1.1,0
239,7.26,9.6,30.84,4.2,0.7,2
156,28.55,3.8,0.0,0.0,0.0,3
27,0.97,0.5,5.74,1.8,3.91,0
417,12.62,40.0,1.28,0.0,1.0,3
629,11.57,61.0,19.3,10.7,0.0,4
478,8.1,21.0,66.0,3.7,31.1,5
558,8.1,35.0,52.2,3.5,30.9,5
44,0.3,0.1,11.6,2.8,7.34,0
93,4.45,4.1,9.72,0.8,0.81,0
468,1.11,52.0,3.49,0.0,3.45,4
223,18.67,16.0,0.0,0.0,0.0,3
81,9.45,2.3,4.95,0.0,0.0,0
95,8.64,2.5,9.54,0.0,9.54,0
152,29.07,3.1,0.0,0.0,0.0,3
280,27.5,17.0,3.1,0.0,1.23,3
147,3.84,11.0,9.17,0.2,4.38,0
391,10.0,3.9,77.1,5.0,0.0,2
29,3.28,0.6,4.44,2.2,2.26,0
99,20.39,1.4,0.0,0.0,0.0,3
1,0.0,0.0,0.15,0.0,0.0,0
154,2.25,0.5,34.91,0.0,0.0,0
377,15.42,6.5,62.32,3.2,1.9,2
300,22.17,22.0,2.19,0.0,1.03,3
24,1.2,0.3,5.31,1.5,3.56,0
274,8.53,16.0,23.46,0.6,0.0,0
342,11.85,16.0,38.75,0.7,1.97,2
482,8.78,24.0,62.68,3.1,47.19,5
359,1.0,2.7,82.82,0.0,57.58,5
54,0.2,0.0,13.41,0.2,9.36,0
64,3.4,0.5,11.49,2.5,2.89,0
59,6.38,2.7,2.19,0.8,0.53,0
86,1.57,0.1,20.12,3.0,4.18,0
92,0.36,0.1,23.94,0.9,0.0,0
347,23.86,1.2,62.62,16.3,6.6,1
469,4.5,19.0,71.0,1.3,32.0,5
230,15.27,17.0,2.59,0.0,2.35,3
234,0.0,0.0,61.47,0.0,21.47,2
97,11.3,3.8,3.7,0.0,0.0,0
249,16.28,11.0,20.89,1.4,3.64,3
94,2.06,0.3,23.64,4.4,0.0,0
134,22.2,4.3,0.0,0.0,0.0,3
224,4.2,1.1,49.07,0.0,0.0,2
217,13.32,2.9,42.47,11.1,3.71,2
207,8.7,2.5,44.3,9.7,4.76,2
884,0.0,100.0,0.0,0.0,0.0,4
362,8.12,3.6,76.89,7.3,0.64,2
287,14.85,20.0,12.84,0.3,0.0,3
343,9.2,3.1,76.14,7.6,10.0,2
438,9.0,15.0,66.7,3.7,2.2,2
186,14.37,14.0,0.0,0.0,0.0,3
196,23.89,10.0,0.0,0.0,0.0,3
357,7.46,2.1,79.26,11.0,0.0,2
95,0.56,1.3,22.79,7.0,15.66,0
132,3.49,2.6,23.62,3.3,0.0,0
23,2.6,0.4,3.7,1.7,0.0,0
77,2.05,0.1,17.49,2.1,0.82,0
158,3.19,4.0,28.09,0.0,25.32,0
324,10.58,5.8,69.86,28.7,41.06,1
15,1.35,0.1,3.28,2.0,1.12,0
296,3.74,15.0,36.9,4.1,0.0,2
316,14.87,18.0,22.87,2.1,2.8,3
515,3.9,26.0,67.1,2.0,35.8,5
489,6.3,24.0,63.2,2.8,3.1,2
296,15.53,26.0,0.81,0.0,0.16,3
103,0.7,0.2,26.16,4.4,21.76,0
53,3.4,0.5,11.15,3.4,0.0,0
245,2.7,12.0,33.5,0.0,0.0,0
114,6.99,0.9,20.22,5.5,0.54,0
169,23.68,6.9,1.47,0.0,0.0,3
91,0.43,0.2,21.95,6.0,10.61,0
222,13.77,10.0,18.43,0.9,1.53,3
111,19.3,3.8,0.0,0.0,0.0,3
346,15.98,12.0,65.78,20.3,1.56,1
130,25.6,3.1,0.0,0.0,0.0,3
82,3.5,2.6,11.2,0.5,0.79,0
60,1.7,2.1,8.4,1.5,1.2,0
95,4.37,2.8,12.7,1.6,3.17,0
119,3.39,10.0,5.08,0.0,1.69,0
369,5.01,3.9,78.43,0.0,0.0,2
44,1.3,1.1,8.2,1.5,4.4,0
278,0.0,0.1,69.52,0.1,68.2,5
131,5.15,1.1,24.93,0.0,0.0,0
474,5.08,21.0,67.95,0.9,63.93,5
491,7.53,24.0,61.51,2.3,50.47,5
358,7.77,4.6,73.93,8.6,0.0,2
314,8.9,3.7,74.31,4.1,0.0,2
0,0.0,0.0,0.0,0.0,0.0,0
291,11.47,13.0,31.79,2.0,1.95,2
70,2.22,0.4,14.22,0.9,4.0,0
124,6.63,4.4,14.39,1.4,2.96,0
74,1.51,1.9,12.79,1.3,1.44,0
72,2.22,4.1,6.53,0.2,0.0,0
473,4.9,19.0,71.3,2.2,38.4,5
211,23.69,12.0,0.0,0.0,0.0,3
325,5.5,12.0,49.5,1.4,18.2,2
340,10.9,2.7,71.3,8.5,7.21,2
491,4.6,22.0,70.0,1.8,28.9,5
46,0.67,2.6,5.01,0.0,0.0,0
299,9.4,3.2,79.3,21.7,18.8,1
884,0.0,100.0,0.0,0.0,0.0,4
90,2.95,0.4,18.83,5.0,3.0,0
197,10.44,4.5,28.54,2.4,5.57,0
128,22.16,4.4,0.1,0.0,0.0,3
387,1.59,3.3,87.73,0.1,56.32,5
24,2.72,0.4,3.89,2.0,0.0,0
107,19.28,3.3,0.0,0.0,0.0,3
90,5.05,1.0,15.24,1.8,2.6,0
111,26.5,0.5,0.0,0.0,0.0,3
404,5.1,14.0,73.0,2.2,0.0,2
449,13.3,15.0,67.0,2.2,0.8,2
372,0.0,0.0,93.33,0.0,63.64,5
28,1.9,0.4,5.63,2.0,1.25,0
68,11.4,2.4,0.14,0.0,0.0,0
339,21.86,1.1,62.37,20.2,2.26,1
46,0.92,0.4,11.02,1.6,9.02,0
594,18.17,50.0,27.9,13.7,0.0,4
118,11.33,8.0,0.0,0.0,0.0,0
380,5.5,1.7,90.1,5.0,53.6,5
435,4.89,17.0,66.76,2.0,37.2,5
295,12.29,16.0,26.26,2.3,3.85,2
90,2.0,3.2,15.0,2.9,3.0,0
589,24.06,50.0,21.57,8.0,8.41,4
52,1.9,1.8,7.1,0.9,0.0,0
2,0.0,0.0,1.03,0.0,0.0,0
430,1.32,45.0,5.9,0.0,4.69,4
21,0.21,0.0,5.42,0.0,4.17,0
305,11.33,21.0,19.06,0.5,2.19,3
489,13.67,24.0,53.88,8.9,19.8,2
268,14.8,23.0,1.4,0.0,0.0,3
431,4.5,15.0,69.44,2.6,35.35,5
237,0.6,7.6,27.6,0.1,0.0,0
259,17.6,19.0,3.6,0.0,0.0,3
439,10.22,18.0,60.23,2.9,1.96,2
290,6.6,5.0,56.0,2.6,0.0,2
96,0.53,0.1,25.92,1.9,24.01,0
121,5.8,3.3,17.19,1.7,1.67,0
251,19.5,17.0,6.1,3.8,1.2,3
125,16.51,6.0,0.0,0.0,0.0,3
279,14.2,17.0,17.0,0.0,0.0,3
503,8.6,25.0,63.1,2.2,1.4,2
97,2.63,0.1,21.44,2.3,1.08,0
129,5.88,4.4,16.97,5.9,3.0,0
150,24.81,4.9,0.0,0.0,0.0,3
526,3.45,28.0,65.99,3.4,51.72,5
6,1.2,0.1,0.21,0.0,0.2,0
12,0.5,0.3,2.41,1.0,1.07,0
487,7.1,21.0,67.8,6.1,0.22,2
19,0.22,0.0,4.72,0.7,3.97,0
69,3.56,4.1,4.45,0.0,4.45,0
313,2.62,27.0,16.75,0.3,6.57,0
88,2.2,4.2,10.4,0.4,3.64,0
356,3.9,16.0,49.2,0.0,0.0,2
486,3.4,34.0,61.2,13.3,0.4,2
258,5.0,7.7,43.1,1.1,14.9,2
110,5.9,3.0,15.6,2.3,3.3,0
466,6.2,29.0,50.2,0.0,0.0,2
500,8.6,24.0,64.1,2.2,1.4,2
269,4.4,14.0,32.9,0.7,12.06,2
414,7.7,15.0,67.0,12.8,24.8,2
77,4.2,2.1,10.0,0.0,0.0,0
110,20.2,2.6,0.0,0.0,0.0,3
509,3.0,24.0,70.09,0.9,41.1,5
375,13.81,5.4,71.0,12.3,0.8,2
136,20.7,4.9,2.22,0.0,0.0,3
132,5.04,1.6,24.25,2.3,0.71,0
141,3.36,3.7,23.15,0.0,19.46,0
506,3.41,29.0,58.52,1.4,0.0,2
63,2.44,2.3,8.18,1.3,1.42,0
364,1.32,0.1,89.05,0.0,78.96,5
79,4.93,0.2,14.91,4.8,0.0,0
376,13.2,6.6,69.4,6.6,13.2,2
110,21.23,2.7,0.0,0.0,0.0,3
120,25.85,1.9,0.0,0.0,0.0,3
113,3.4,2.8,18.9,0.4,0.0,0
156,26.48,5.6,0.0,0.0,0.0,3
160,2.0,15.0,8.53,6.7,0.66,0
209,21.3,12.0,4.4,3.0,0.3,3
366,2.2,9.3,80.4,2.1,71.42,5
210,5.5,12.0,20.8,1.6,11.58,0
209,23.7,9.1,8.0,2.8,1.4,3
136,22.7,5.0,0.0,0.0,0.0,3
258,14.59,14.0,19.95,1.4,4.91,3
231,25.72,13.0,0.0,0.0,0.0,3
42,2.8,0.3,7.2,3.1,0.0,0
30,3.04,0.2,5.94,1.8,4.13,0
328,14.1,29.0,1.51,0.0,1.51,3
73,1.61,1.2,13.71,0.8,8.06,0
510,6.21,34.0,44.88,2.5,38.31,5
1,0.0,0.0,0.2,0.0,0.0,0
470,6.5,18.0,71.2,3.0,31.3,5
371,15.86,34.0,0.0,0.0,0.0,3
469,38.55,25.0,30.22,17.7,4.2,1
66,0.4,0.3,15.48,0.6,9.29,0
277,9.72,24.0,5.02,0.0,2.75,3
173,33.02,3.5,0.0,0.0,0.0,3
16,2.0,0.6,1.2,0.0,0.13,0
78,5.2,3.7,6.4,0.6,1.68,0
48,2.37,1.6,6.07,0.9,0.0,0
16,0.31,0.2,3.22,1.5,2.02,0
373,2.0,1.0,89.0,0.0,5.3,2
884,0.0,100.0,0.0,0.0,0.0,4
195,29.8,8.5,0.0,0.0,0.55,3
290,2.17,12.0,44.54,1.6,22.02,2
458,3.2,28.0,68.5,14.3,0.8,2
116,20.69,3.7,0.0,0.0,0.0,3
378,15.19,35.0,0.7,0.0,0.7,3
515,3.8,25.0,68.3,0.8,44.3,5
482,7.4,22.0,65.7,2.7,32.3,5
62,0.0,0.0,15.38,0.0,15.3,0
374,3.47,12.0,64.03,1.0,37.3,5
26,0.8,0.1,6.0,1.7,3.64,0
63,4.45,1.5,8.11,1.6,0.89,0
453,5.0,15.0,74.0,1.1,33.9,5
177,20.07,10.0,0.07,0.0,0.0,3
361,0.37,40.0,0.0,0.0,0.0,3
522,5.87,27.0,63.94,0.0,62.36,5
52,0.84,1.1,9.84,3.2,3.65,0
177,4.02,6.5,26.82,0.2,24.37,0
263,9.6,6.0,44.6,3.8,6.25,2
105,18.09,3.7,0.0,0.0,0.0,3
239,3.34,2.7,50.47,5.1,6.87,2
179,9.84,6.4,20.51,2.4,0.0,0
47,4.8,2.5,1.4,0.3,0.2,0
323,21.92,24.0,4.5,0.0,0.0,3
30,1.6,0.1,5.67,3.1,1.3,0
382,40.32,12.0,35.14,0.0,0.0,3
106,8.25,2.9,11.67,1.0,11.0,0
71,9.07,0.2,8.09,0.3,7.61,0
49,0.41,0.0,11.38,0.0,10.16,0
42,1.67,1.7,5.0,0.0,1.67,0
412,30.34,15.0,38.4,7.3,15.17,2
469,4.5,19.0,71.0,1.3,32.0,5
277,12.12,19.0,14.37,0.0,0.0,3
373,0.0,0.0,93.18,0.0,88.9,5
59,5.22,1.6,5.53,0.0,0.0,0
466,4.0,18.0,72.3,1.3,31.1,5
510,6.64,26.0,61.3,2.3,8.18,2
476,39.01,34.0,0.48,0.0,0.0,3
301,12.07,27.0,1.98,0.0,0.0,3
235,15.42,18.0,1.56,0.0,0.0,3
134,26.0,2.6,0.0,0.0,0.0,3
390,4.1,15.0,68.4,3.1,62.22,5
519,13.1,34.0,49.7,4.7,37.59,5
30,0.55,0.1,7.5,1.1,0.0,0
343,12.2,13.0,44.48,2.4,1.11,2
38,7.0,0.7,1.0,0.0,0.42,0
121,15.5,2.8,8.4,0.1,0.0,3
426,2.9,13.0,80.4,4.2,0.0,2
62,0.83,0.8,12.83,1.2,11.1,0
359,58.14,1.2,29.07,0.0,1.16,3
396,0.0,0.0,98.9,0.1,58.97,5
152,0.2,0.0,11.67,0.0,1.09,0
427,1.9,43.0,7.36,0.1,6.67,4
243,12.62,8.8,28.45,1.7,0.0,3
357,1.17,16.0,53.21,0.2,51.5,5
94,2.1,0.2,21.08,2.1,1.53,0
165,3.97,5.7,25.55,0.1,21.19,0
79,0.2,0.2,19.18,1.4,17.89,0
244,15.17,10.0,22.21,1.3,3.84,3
1,0.22,0.0,0.0,0.0,0.0,0
67,0.63,0.4,17.15,0.9,16.25,0
327,4.78,16.0,40.95,2.2,4.82,2
404,11.49,39.0,0.0,0.0,0.0,3
341,0.44,0.5,83.65,0.0,80.44,5
75,0.8,0.8,16.23,0.4,11.74,0
379,9.64,0.6,83.76,7.5,3.69,2
381,2.0,1.4,90.06,2.5,64.68,5
324,2.9,9.1,61.6,3.7,27.42,5
255,5.0,7.1,43.4,1.0,15.6,2
304,13.45,19.0,22.26,0.9,2.18,3
287,11.08,14.0,29.56,2.0,1.82,2
162,18.86,9.0,0.0,0.0,0.0,3
485,3.3,26.0,59.59,3.5,55.79,5
28,0.81,0.2,5.73,0.9,3.37,0
133,2.92,8.3,11.72,0.6,1.4,0
902,0.0,100.0,0.0,0.0,0.0,4
410,33.2,26.0,11.0,1.8,9.0,3
22,0.6,0.1,4.59,0.8,3.28,0
479,6.0,21.0,66.4,2.2,8.0,2
160,28.3,4.4,0.0,0.0,0.0,3
96,1.76,2.0,18.47,0.8,0.0,0
258,5.9,0.8,57.8,1.5,0.0,2
124,22.6,3.1,0.0,0.0,0.0,3
84,1.0,0.1,19.8,0.0,0.0,0
218,5.7,2.9,44.64,6.3,0.88,2
370,4.06,8.0,72.64,2.3,27.24,5
339,21.25,0.9,63.25,15.5,2.12,1
389,10.0,4.6,80.3,7.1,21.0,2
379,12.2,4.4,73.4,7.5,0.87,2
371,62.44,13.0,0.0,0.0,0.0,3
18,0.95,0.1,4.01,0.7,2.49,0
328,9.9,2.1,80.5,18.3,18.6,1
526,5.1,30.0,59.8,1.7,6.5,2
428,8.0,15.0,63.4,2.1,11.65,2
43,0.46,0.0,3.55,0.0,0.0,0
61,1.22,0.8,12.31,2.6,6.46,0
105,22.64,0.9,0.0,0.0,0.0,3
96,2.03,6.9,6.36,1.8,2.16,0
60,0.51,0.1,15.56,1.3,14.26,0
83,0.64,0.1,21.31,2.7,18.65,0
165,21.77,8.0,0.0,0.0,0.0,3
83,9.98,5.3,1.18,1.0,0.71,0
360,9.0,26.0,22.8,0.8,0.25,2
598,22.21,51.0,22.31,5.0,10.49,4
252,21.71,18.0,0.0,0.0,0.0,3
429,12.6,9.5,73.39,14.2,0.54,2
327,14.5,29.0,3.1,0.0,0.0,3
85,6.76,2.8,8.29,1.0,1.74,0
56,0.03,0.0,14.4,0.0,14.4,0
188,14.6,14.0,1.5,0.2,1.4,3
12,0.5,0.3,2.41,1.0,1.07,0
78,0.52,0.1,21.0,1.9,18.61,0
185,10.83,11.0,11.36,1.5,3.15,0
179,0.3,0.0,46.1,0.8,45.3,5
382,12.0,4.2,77.9,15.1,0.0,1
196,1.69,14.0,15.49,0.3,7.79,0
496,26.32,27.0,38.42,0.0,38.42,5
45,2.1,1.1,6.67,1.6,1.93,0
31,4.42,1.0,0.75,0.0,0.35,0
44,0.81,0.6,8.68,0.0,2.6,0
286,12.14,15.0,26.22,2.4,3.02,2
252,13.94,16.0,13.74,1.4,3.52,3
431,7.0,18.0,71.6,5.7,1.3,2
60,0.3,0.0,16.4,0.0,0.0,0
54,3.43,1.0,7.68,0.0,7.29,0
468,7.2,23.0,62.4,7.5,0.0,2
477,4.9,18.0,73.9,1.3,36.9,5
289,3.49,14.0,37.2,3.9,0.28,2
130,5.28,1.7,23.54,0.0,0.0,0
113,24.69,0.9,0.0,0.0,0.0,3
305,5.8,12.0,43.4,1.2,11.5,2
370,7.11,1.8,79.45,3.9,1.61,2
368,15.93,23.0,24.11,1.7,2.21,3
82,0.07,0.0,2.6,0.0,0.96,0
69,3.17,0.8,12.3,1.2,4.76,0
387,8.2,2.8,81.5,4.2,0.89,2
257,5.65,8.2,40.24,2.9,2.98,2
196,1.63,1.3,44.17,0.0,0.0,0
198,14.68,15.0,0.14,0.0,0.0,3
19,0.91,0.1,4.28,2.9,1.78,0
158,0.65,10.0,16.4,0.0,6.67,0
464,0.87,41.0,23.33,0.4,15.84,4
0,0.0,0.0,0.14,0.0,0.0,0
214,5.95,7.0,31.77,2.4,5.96,0
642,14.32,52.0,28.42,16.6,0.91,4
530,5.7,29.0,61.5,3.7,28.4,5
47,1.8,3.2,2.8,0.1,0.0,0
82,15.5,1.8,0.0,0.0,0.0,3
389,0.1,0.2,99.1,0.0,95.45,5
279,0.0,0.0,76.1,0.1,76.0,5
12,1.29,0.8,0.8,0.6,0.13,0
87,1.2,0.1,20.2,1.0,17.48,0
42,2.3,0.7,6.5,0.0,0.0,0
161,1.36,3.6,30.72,1.9,7.65,0
484,7.6,22.0,65.7,2.0,16.7,2
56,1.56,0.2,14.39,2.1,3.84,0
61,4.6,2.4,5.2,0.2,0.0,0
108,23.4,0.9,0.0,0.0,0.0,3
39,2.58,1.2,4.35,0.5,0.42,0
47,0.94,0.1,11.75,2.4,9.35,0
467,6.81,25.0,53.16,1.2,25.81,5
357,10.71,5.4,75.5,10.7,3.57,2
391,4.6,8.1,80.16,2.3,39.53,5
222,4.1,13.0,22.2,0.7,21.16,0
126,4.9,2.6,21.8,0.0,18.69,0
567,16.96,48.0,26.04,0.0,0.0,4
76,1.69,5.1,5.08,0.0,1.69,0
356,10.9,2.0,73.77,2.8,11.27,2
47,0.0,0.0,12.26,0.0,11.63,0
46,0.25,0.1,12.08,0.0,12.08,0
432,14.11,14.0,62.2,3.8,14.11,2
850,0.9,94.0,0.0,0.0,0.0,4
300,0.01,5.0,52.9,3.2,14.6,2
221,9.6,2.3,44.1,7.3,8.79,2
592,2.6,61.0,8.1,0.0,0.0,4
233,10.64,14.0,16.37,0.4,2.2,3
126,10.4,4.5,10.9,3.4,1.3,0
26,2.81,0.3,4.78,3.0,1.35,0
70,8.76,3.5,0.74,0.6,0.3,0
674,8.21,71.0,0.0,0.0,0.0,4
497,6.62,22.0,67.38,4.7,1.21,2
541,4.06,30.0,62.82,1.6,40.99,5
45,0.55,0.1,11.82,0.0,8.29,0
59,0.27,0.2,14.06,2.3,10.48,0
352,23.82,1.2,63.74,25.5,8.0,1
57,2.5,1.9,7.3,1.1,1.45,0
336,21.11,1.2,62.25,24.9,0.0,1
277,14.0,23.0,3.76,0.9,0.0,3
61,4.2,0.5,9.9,0.0,0.0,0
0,0.0,0.0,1.13,0.0,0.0,0
119,24.54,1.6,0.0,0.0,0.0,3
588,21.93,50.0,23.98,5.7,6.5,4
290,62.82,2.4,0.0,0.0,0.0,3
105,22.83,0.9,0.0,0.0,0.0,3
264,24.6,18.0,4.0,0.0,0.0,3
45,0.07,0.0,11.12,0.6,10.4,0
536,7.0,35.0,52.9,4.8,0.22,2
414,5.6,12.0,74.0,3.3,2.3,2
91,1.0,0.2,21.34,1.6,11.36,0
189,17.5,13.0,1.04,0.0,0.0,3
129,9.76,7.0,6.87,1.5,3.03,0
79,2.14,0.1,18.07,1.3,0.62,0
32,3.04,0.3,6.28,3.3,0.0,0
97,1.4,0.1,23.94,3.0,4.8,0
72,3.33,0.5,13.47,4.0,0.0,0
20,3.8,0.5,0.0,0.0,0.0,0
76,1.83,0.1,17.47,1.9,0.0,0
180,16.9,13.0,0.0,0.0,0.0,3
557,28.33,47.0,15.31,0.0,0.0,4
517,11.28,32.0,52.8,3.9,40.22,5
378,2.3,1.9,87.9,3.6,67.86,5
362,2.6,2.1,89.3,4.5,42.88,5
487,6.51,31.0,55.92,3.8,5.47,2
384,10.04,2.9,80.39,3.4,2.21,2
14,0.62,0.0,3.39,0.5,0.0,0
366,10.6,1.4,75.5,3.3,0.4,2
232,1.8,10.0,34.9,1.0,9.89,0
32,0.8,0.2,7.2,1.7,3.16,0
94,19.77,1.6,0.0,0.0,0.0,3
170,0.91,0.7,39.95,1.0,35.29,5
150,0.27,0.0,38.22,0.1,18.75,0
218,17.99,16.0,0.44,0.0,0.0,3
475,4.9,19.0,72.6,1.8,37.6,5
520,6.24,28.0,63.64,1.9,53.96,5
363,10.62,1.6,76.45,3.1,3.83,2
173,31.2,4.4,0.0,0.0,0.0,3
285,6.47,9.7,42.98,2.2,4.91,2
42,1.69,1.7,5.08,0.0,1.69,0
515,1.34,26.0,69.23,3.7,3.36,2
560,1.07,33.0,64.72,0.0,63.47,5
33,2.69,0.4,6.46,3.6,0.0,0
370,7.11,1.8,79.45,3.9,1.61,2
5,0.24,0.1,0.93,0.0,0.55,0
14,0.0,0.0,3.59,0.0,3.5,0
72,0.52,0.2,18.43,1.2,14.66,0
356,4.89,19.0,40.72,2.6,4.68,2
389,1.3,5.2,92.0,2.4,0.0,2
337,22.53,1.1,61.29,15.2,2.1,1
155,24.38,4.9,3.43,0.0,0.0,3
48,0.28,0.3,12.31,1.3,10.1,0
884,0.0,100.0,0.0,0.0,0.0,4
124,22.73,3.0,0.0,0.0,0.0,3
104,7.3,1.1,16.3,0.0,0.0,0
308,7.84,19.0,27.99,0.7,0.1,2
589,24.06,50.0,21.57,8.0,8.41,4
119,21.49,3.0,0.0,0.0,0.0,3
526,9.0,34.0,53.4,6.2,43.9,5
188,13.7,14.0,1.4,0.5,1.4,3
546,4.88,31.0,61.17,7.0,47.9,5
69,0.4,0.4,16.0,0.4,9.41,0
220,7.25,11.0,22.05,0.8,0.0,0
203,31.52,8.5,0.0,0.0,0.0,3
280,11.73,13.0,29.93,1.7,3.21,2
19,1.72,0.4,3.22,1.4,1.89,0
17,1.0,0.2,3.7,2.8,0.0,0
466,7.1,16.0,73.6,2.0,23.2,5
104,14.66,2.9,4.89,0.0,0.0,3
0,0.0,0.0,0.0,0.0,0.0,0
48,0.5,0.1,11.7,0.1,0.0,0
629,13.7,61.0,17.0,11.0,3.49,4
197,2.49,9.0,26.59,2.7,1.38,0
161,17.27,7.6,4.83,0.0,0.0,3
227,6.4,9.7,28.3,0.0,0.0,0
274,12.59,18.0,17.28,0.9,1.57,3
67,2.38,0.4,13.89,1.2,5.16,0
123,2.7,2.2,25.5,2.0,0.3,0
34,1.3,0.1,7.7,1.9,6.09,0
29,1.2,0.2,5.7,1.3,1.06,0
273,11.24,18.0,15.45,1.9,2.6,3
449,31.3,34.0,1.4,0.0,0.0,3
97,11.7,5.3,0.0,0.0,0.0,0
222,9.94,7.2,29.5,2.1,5.32,0
167,1.32,5.8,28.81,2.7,21.88,0
472,12.1,48.0,36.2,18.1,0.0,1
41,0.2,0.2,10.8,1.7,9.87,0
69,12.06,0.5,3.18,0.0,0.0,0
122,13.09,6.7,9.57,1.1,0.0,0
161,19.81,9.0,0.15,0.0,0.1,3
105,17.1,0.8,6.01,0.0,0.0,3
128,4.53,0.1,26.61,4.3,1.15,0
507,11.4,26.0,57.4,2.4,0.5,2
101,1.7,0.6,25.2,2.4,0.0,0
385,13.9,12.0,63.2,9.0,13.5,2
198,4.29,0.1,46.06,7.9,1.4,2
183,9.13,7.3,20.32,2.4,0.0,0
84,8.9,4.4,2.3,0.8,0.3,0
51,2.6,2.1,5.1,0.4,0.21,0
276,10.85,11.0,32.85,2.1,2.47,2
403,9.38,11.0,66.72,7.5,32.45,5
346,3.89,1.8,88.28,9.9,47.3,5
446,8.0,24.0,52.1,3.0,17.51,2
58,2.2,1.5,8.0,0.0,0.0,0
390,6.65,2.2,83.14,1.3,4.85,2
79,2.64,1.8,13.66,0.4,10.57,0
467,7.05,18.0,70.07,3.5,38.8,5
160,4.0,6.0,24.9,2.2,0.0,0
17,0.85,0.3,3.53,0.4,2.58,0
168,13.19,4.7,18.28,3.3,1.57,0
352,78.13,1.6,6.25,3.1,0.0,3
29,3.06,0.3,5.35,3.0,1.47,0
43,8.21,1.1,0.0,0.0,0.0,0
88,10.07,4.6,1.53,0.9,0.5,0
44,4.16,0.7,6.85,0.0,0.0,0
239,8.33,1.0,49.1,4.2,0.0,2
0,0.0,0.0,0.0,0.0,0.0,0
264,7.66,14.0,26.7,0.0,0.0,0
267,16.66,14.0,18.01,0.0,17.36,3
58,0.44,0.2,13.61,2.8,9.59,0
46,3.2,2.0,3.8,0.0,0.0,0
441,10.06,18.0,60.34,3.0,1.99,2
39,1.09,1.1,6.24,0.7,0.52,0
46,0.06,0.1,11.1,0.4,9.0,0
242,15.17,10.0,22.21,1.3,3.84,3
275,11.48,15.0,23.22,1.3,2.48,3
165,0.22,0.2,41.97,3.2,38.77,5
305,5.9,8.4,51.0,3.4,17.78,2
271,9.41,22.0,8.13,0.0,0.0,3
370,7.11,1.8,79.45,3.9,1.61,2
423,6.6,17.0,66.9,7.0,35.2,5
30,0.79,0.3,6.57,0.6,3.97,0
183,7.03,6.8,23.37,3.7,2.1,0
371,6.5,16.0,75.3,14.9,1.2,1
241,16.52,14.0,11.71,1.1,0.0,3
69,1.68,0.1,15.71,2.4,1.15,0
89,2.3,0.2,19.59,1.8,1.43,0
189,26.85,9.1,0.0,0.0,0.0,3
67,3.85,2.5,7.16,0.6,2.06,0
288,15.39,25.0,0.93,0.0,0.93,3
