category,serving_size,calories,protein,total_fat,carbohydrate,fiber,sugars
Fruits,100.0,261,0.0,0.0,65.1,0.0,65.0
Vegetables,100.0,28,2.98,0.4,5.24,0.0,0.0
Dairy,100.0,198,2.44,19.0,4.63,0.0,3.41
Sauce,100.0,16,1.2,0.2,2.5,0.0,0.0
Red Meat,100.0,264,12.92,10.0,30.28,1.3,6.03
Dairy,100.0,352,23.78,28.0,0.57,0.0,0.57
Dairy,100.0,100,0.0,6.7,6.67,0.0,0.0
Dairy,100.0,133,0.0,6.7,20.0,0.0,20.0
Miscellaneous Ingredients,100.0,293,7.48,0.3,65.07,6.6,4.65
Vegetables,100.0,37,2.66,0.3,7.81,2.7,0.22
Red Meat,100.0,517,29.1,44.0,0.8,0.0,0.8
Red Meat,100.0,425,21.7,37.0,1.2,0.0,1.2
Snacks,100.0,427,10.58,14.0,69.55,10.3,1.19
Legumes and seeds,100.0,570,26.15,50.0,15.83,9.5,0.0
Grains,100.0,72,1.48,0.9,14.26,2.5,1.82
Red Meat,100.0,102,22.24,0.7,0.0,0.0,0.0
Fruits,100.0,62,0.33,0.1,14.94,3.0,9.54
Condiments,100.0,48,1.18,0.7,11.29,3.3,7.99
Seafood,100.0,146,17.28,8.0,0.0,0.0,0.0
Red Meat,100.0,172,19.03,10.0,0.44,0.0,0.0
Condiments,100.0,245,16.18,19.0,2.28,0.0,0.0
Condiments,100.0,170,6.69,9.2,15.1,3.0,0.0
Sauce,100.0,78,0.0,0.0,19.46,0.0,10.03
Snacks,100.0,318,1.8,0.2,81.3,0.1,57.56
Legumes and seeds,100.0,177,4.86,8.6,20.12,4.0,0.27
Fruits,100.0,44,1.78,1.3,7.56,0.0,0.0
Condiments,100.0,254,3.0,14.0,28.89,1.0,21.26
Sauce,100.0,32,1.74,0.4,6.7,3.7,3.83
Vegetables,100.0,12,1.1,0.2,2.23,0.0,0.0
Condiments,100.0,281,11.86,8.2,51.42,21.6,0.0
Miscellaneous Ingredients,100.0,271,31.3,5.2,42.38,32.7,0.0
Condiments,100.0,251,10.39,3.3,63.95,25.3,0.64
Miscellaneous Ingredients,100.0,296,10.4,2.1,68.61,26.2,0.0
Vegetables,100.0,38,0.72,0.1,8.82,4.9,1.8
Legumes and seeds,100.0,719,10.8,80.0,3.98,0.0,0.0
Fruits,100.0,61,1.14,0.5,14.66,3.0,8.99
Legumes and seeds,100.0,64,9.4,1.4,8.28,2.0,0.0
Legumes and seeds,100.0,98,1.46,0.4,23.63,1.5,0.0
Snacks,100.0,391,0.03,3.3,90.4,0.0,80.46
Vegetables,100.0,12,0.59,0.2,2.16,0.7,1.38
Vegetables,100.0,45,2.7,0.7,9.2,3.5,0.71
Fruits,100.0,36,0.54,0.1,9.09,0.8,8.12
Eggs,100.0,157,1.96,9.4,16.18,1.3,4.95
Vegetables,100.0,22,3.09,0.3,3.26,1.0,1.98
Vegetables,100.0,31,3.12,0.6,5.1,2.8,0.6
Condiments,100.0,358,23.54,29.0,1.75,0.0,1.23
Fruits,100.0,46,0.7,0.2,11.54,2.4,9.14
Dairy,100.0,41,2.47,1.4,4.12,0.4,2.88
Fruits,100.0,57,0.17,0.2,14.51,0.6,13.91
Vegetables,100.0,34,4.55,0.4,5.54,0.0,0.0
Dairy,100.0,94,2.35,1.2,18.82,0.6,14.71
Dairy,100.0,66,2.64,1.8,9.69,0.4,5.29
Sauce,100.0,40,1.67,0.0,8.33,1.7,6.67
Condiments,100.0,185,23.88,0.9,20.42,6.5,1.6
Vegetables,100.0,23,1.2,0.2,5.1,1.1,4.0
Seafood,100.0,90,16.1,1.4,2.0,0.0,0.0
Poultry,100.0,103,22.5,0.8,0.0,0.0,0.0
Grains,100.0,371,13.04,1.5,74.67,3.2,2.67
Snacks,100.0,416,5.6,9.8,76.9,2.2,19.92
Sauce,100.0,74,3.1,0.0,15.6,0.0,0.39
Grains,100.0,445,5.9,13.0,75.7,2.7,22.0
Poultry,100.0,223,15.51,16.0,2.74,0.0,2.98
Condiments,100.0,239,16.06,19.0,0.26,0.0,0.0
Miscellaneous Ingredients,100.0,276,9.11,7.4,63.94,37.0,1.71
Vegetables,100.0,40,0.95,0.2,9.28,0.8,3.91
Grains,100.0,386,9.88,5.2,74.93,0.0,5.38
Sauce,100.0,327,11.2,29.0,6.3,0.0,0.0
Fruits,100.0,173,0.39,0.3,42.47,1.5,35.3
Condiments,100.0,153,0.95,9.9,14.89,1.9,12.19
Red Meat,100.0,261,12.6,22.0,1.9,0.0,1.5
Condiments,100.0,282,13.46,14.0,49.7,34.8,7.19
Miscellaneous Ingredients,100.0,333,19.77,15.0,49.9,38.0,0.64
Miscellaneous Ingredients,100.0,233,22.98,4.1,47.75,37.7,1.71
Condiments,100.0,130,0.37,0.5,35.06,1.1,29.13
Miscellaneous Ingredients,100.0,311,21.2,3.5,64.29,26.2,0.0
Seafood,100.0,195,13.41,15.0,0.0,0.0,0.0
Grains,100.0,482,7.1,20.0,67.6,3.5,12.0
Miscellaneous Ingredients,100.0,475,6.71,32.0,50.5,20.2,0.0
Miscellaneous Ingredients,100.0,341,10.41,1.0,79.12,15.2,6.63
Condiments,100.0,717,0.85,81.0,0.06,0.0,0.06
Sauce,100.0,108,1.79,0.2,24.01,1.0,0.03
Grains,100.0,345,10.5,1.6,74.52,10.1,0.8
Legumes and seeds,100.0,27,1.28,0.0,6.73,0.0,0.0
Condiments,100.0,350,8.36,17.0,41.72,2.5,3.69
Poultry,100.0,351,17.67,22.0,21.18,1.0,0.0
Sauce,100.0,120,0.79,7.1,13.17,2.8,9.33
Snacks,100.0,321,10.04,7.4,53.58,3.1,15.38
Fruits,100.0,63,1.06,0.2,16.01,2.1,12.82
Poultry,100.0,165,20.22,8.7,0.0,0.0,0.0
Beverages,100.0,62,2.06,1.4,10.29,0.0,9.47
Snacks,100.0,519,2.3,34.0,58.4,7.7,35.34
Fruits,100.0,39,0.91,0.3,9.54,1.5,8.39
Grains,100.0,273,8.6,6.3,46.0,3.8,1.63
Snacks,100.0,530,3.94,30.0,63.39,2.0,60.02
Poultry,100.0,143,17.44,8.1,0.04,0.0,0.0
Fruits,100.0,63,0.39,0.2,15.01,3.1,9.69
Fruits,100.0,254,0.2,0.1,66.3,0.7,27.38
Snacks,100.0,375,7.3,3.7,78.0,2.1,26.4
Seafood,100.0,45,3.03,0.6,9.14,0.5,0.65
Seafood,100.0,306,6.21,0.3,80.88,7.7,2.97
Grains,100.0,260,8.7,3.9,49.5,5.5,0.0
Legumes and seeds,100.0,23,2.46,0.3,4.02,0.0,0.0
Grains,100.0,352,9.91,1.2,77.72,15.6,0.8
Red Meat,100.0,326,14.1,29.0,1.63,0.0,0.0
Miscellaneous Ingredients,100.0,325,14.29,14.0,55.83,53.2,2.76
Snacks,100.0,476,32.0,26.0,28.6,10.2,0.0
Grains,100.0,360,12.68,1.1,72.83,3.9,0.0
Legumes and seeds,100.0,69,4.27,2.0,11.71,9.9,0.0
Miscellaneous Ingredients,100.0,315,10.63,13.0,60.73,40.3,1.71
Sauce,100.0,50,0.0,0.0,12.5,0.0,6.25
Eggs,100.0,197,2.49,9.0,26.59,2.7,1.38
Condiments,100.0,385,5.29,22.0,41.05,2.4,4.76
Poultry,100.0,125,21.55,3.7,0.0,0.0,0.0
Oil,100.0,884,0.0,100.0,0.0,0.0,0.0
Vegetables,100.0,15,1.03,0.1,3.28,0.0,0.0
Miscellaneous Ingredients,100.0,319,11.3,2.1,63.7,27.8,35.9
Eggs,100.0,391,12.3,2.1,78.6,2.8,0.0
Fruits,100.0,55,1.52,0.3,13.02,5.3,7.7
Fruits,100.0,43,0.5,0.2,10.1,0.2,9.9
Legumes and seeds,100.0,147,12.95,6.8,11.05,4.2,0.0
Legumes and seeds,100.0,151,12.5,8.1,6.9,0.0,1.6
Red Meat,100.0,161,20.1,8.3,0.0,0.0,0.0
Red Meat,100.0,120,22.96,2.4,0.0,0.0,0.0
Fruits,100.0,49,0.91,0.2,12.54,2.2,8.5
Grains,100.0,474,6.15,23.0,64.43,5.8,0.0
Seafood,100.0,144,19.66,6.7,0.0,0.0,0.0
Vegetables,100.0,44,2.79,1.0,6.91,0.0,0.0
Vegetables,100.0,23,1.7,0.3,4.7,4.0,0.7
Vegetables,100.0,115,2.7,0.2,25.61,1.5,17.16
Fruits,100.0,19,0.82,0.1,4.51,1.7,1.66
Seafood,100.0,177,16.36,12.0,0.0,0.0,0.0
Poultry,100.0,223,12.23,17.0,3.81,0.0,1.21
Snacks,100.0,375,0.0,0.1,93.55,0.2,70.0
Oil,100.0,884,0.0,100.0,0.0,0.0,0.0
Legumes and seeds,100.0,335,88.32,3.4,0.0,0.0,0.0
Grains,100.0,283,0.0,0.2,76.79,0.0,76.77
Seafood,100.0,148,20.53,6.7,0.0,0.0,0.0
Seafood,100.0,76,14.48,1.5,0.0,0.0,0.0
Red Meat,100.0,282,12.07,22.0,7.53,0.0,0.0
Grains,100.0,358,0.19,0.0,88.69,0.9,3.35
Fruits,100.0,68,2.55,1.0,14.32,5.4,8.92
Miscellaneous Ingredients,100.0,392,18.07,25.0,41.35,11.8,0.67
Snacks,100.0,522,15.5,34.0,47.4,4.1,42.22
Grains,100.0,284,9.4,3.6,53.1,6.4,4.23
Oil,100.0,884,0.0,100.0,0.0,0.0,0.0
Snacks,100.0,394,1.78,7.3,81.64,2.0,75.0
Red Meat,100.0,197,21.0,9.0,8.0,4.6,1.25
Poultry,100.0,112,22.83,1.6,0.0,0.0,0.0
Vegetables,100.0,27,2.86,0.4,4.67,3.2,1.32
Seafood,100.0,35,5.81,0.3,5.11,0.3,0.49
Snacks,100.0,360,7.1,18.0,43.7,1.2,0.0
Fruits,100.0,107,1.42,0.4,27.57,4.2,23.35
Snacks,100.0,412,12.0,9.5,68.4,3.0,1.26
Dairy,100.0,58,2.06,1.4,9.05,0.0,7.41
