category,serving_size,calories,protein,total_fat,carbohydrate,fiber,sugars
Snacks,100.0,487,6.51,31.0,55.92,3.8,5.47
Snacks,100.0,384,10.04,2.9,80.39,3.4,2.21
Vegetables,100.0,14,0.62,0.0,3.39,0.5,0.0
Grains,100.0,366,10.6,1.4,75.5,3.3,0.4
Fruits,100.0,232,1.8,10.0,34.9,1.0,9.89
Vegetables,100.0,32,0.8,0.2,7.2,1.7,3.16
Red Meat,100.0,94,19.77,1.6,0.0,0.0,0.0
Sauce,100.0,170,0.91,0.7,39.95,1.0,35.29
Sauce,100.0,150,0.27,0.0,38.22,0.1,18.75
Red Meat,100.0,218,17.99,16.0,0.44,0.0,0.0
Snacks,100.0,475,4.9,19.0,72.6,1.8,37.6
Snacks,100.0,520,6.24,28.0,63.64,1.9,53.96
Miscellaneous Ingredients,100.0,363,10.62,1.6,76.45,3.1,3.83
Seafood,100.0,173,31.2,4.4,0.0,0.0,0.0
Eggs,100.0,285,6.47,9.7,42.98,2.2,4.91
Sauce,100.0,42,1.69,1.7,5.08,0.0,1.69
Snacks,100.0,515,1.34,26.0,69.23,3.7,3.36
Snacks,100.0,560,1.07,33.0,64.72,0.0,63.47
Vegetables,100.0,33,2.69,0.4,6.46,3.6,0.0
Grains,100.0,370,7.11,1.8,79.45,3.9,1.61
Vegetables,100.0,5,0.24,0.1,0.93,0.0,0.55
Beverages,100.0,14,0.0,0.0,3.59,0.0,3.5
Fruits,100.0,72,0.52,0.2,18.43,1.2,14.66
Condiments,100.0,356,4.89,19.0,40.72,2.6,4.68
Miscellaneous Ingredients,100.0,389,1.3,5.2,92.0,2.4,0.0
Legumes and seeds,100.0,337,22.53,1.1,61.29,15.2,2.1
Red Meat,100.0,155,24.38,4.9,3.43,0.0,0.0
Fruits,100.0,48,0.28,0.3,12.31,1.3,10.1
Oil,100.0,884,0.0,100.0,0.0,0.0,0.0
Seafood,100.0,124,22.73,3.0,0.0,0.0,0.0
Legumes and seeds,100.0,104,7.3,1.1,16.3,0.0,0.0
Seafood,100.0,308,7.84,19.0,27.99,0.7,0.1
Condiments,100.0,589,24.06,50.0,21.57,8.0,8.41
Seafood,100.0,119,21.49,3.0,0.0,0.0,0.0
Snacks,100.0,526,9.0,34.0,53.4,6.2,43.9
Poultry,100.0,188,13.7,14.0,1.4,0.5,1.4
Dairy,100.0,546,4.88,31.0,61.17,7.0,47.9
Fruits,100.0,69,0.4,0.4,16.0,0.4,9.41
Red Meat,100.0,220,7.25,11.0,22.05,0.8,0.0
Red Meat,100.0,203,31.52,8.5,0.0,0.0,0.0
Sauce,100.0,280,11.73,13.0,29.93,1.7,3.21
Vegetables,100.0,19,1.72,0.4,3.22,1.4,1.89
Legumes and seeds,100.0,17,1.0,0.2,3.7,2.8,0.0
Snacks,100.0,466,7.1,16.0,73.6,2.0,23.2
Eggs,100.0,104,14.66,2.9,4.89,0.0,0.0
Beverages,100.0,0,0.0,0.0,0.0,0.0,0.0
Fruits,100.0,48,0.5,0.1,11.7,0.1,0.0
Legumes and seeds,100.0,629,13.7,61.0,17.0,11.0,3.49
Eggs,100.0,197,2.49,9.0,26.59,2.7,1.38
Red Meat,100.0,161,17.27,7.6,4.83,0.0,0.0
Eggs,100.0,227,6.4,9.7,28.3,0.0,0.0
Eggs,100.0,274,12.59,18.0,17.28,0.9,1.57
Snacks,100.0,67,2.38,0.4,13.89,1.2,5.16
Vegetables,100.0,123,2.7,2.2,25.5,2.0,0.3
Vegetables,100.0,34,1.3,0.1,7.7,1.9,6.09
Vegetables,100.0,29,1.2,0.2,5.7,1.3,1.06
Sauce,100.0,273,11.24,18.0,15.45,1.9,2.6
Red Meat,100.0,449,31.3,34.0,1.4,0.0,0.0
Seafood,100.0,97,11.7,5.3,0.0,0.0,0.0
Eggs,100.0,222,9.94,7.2,29.5,2.1,5.32
Sauce,100.0,167,1.32,5.8,28.81,2.7,21.88
Miscellaneous Ingredients,100.0,472,12.1,48.0,36.2,18.1,0.0
Fruits,100.0,41,0.2,0.2,10.8,1.7,9.87
Seafood,100.0,69,12.06,0.5,3.18,0.0,0.0
Legumes and seeds,100.0,122,13.09,6.7,9.57,1.1,0.0
Red Meat,100.0,161,19.81,9.0,0.15,0.0,0.1
Seafood,100.0,105,17.1,0.8,6.01,0.0,0.0
Vegetables,100.0,128,4.53,0.1,26.61,4.3,1.15
Snacks,100.0,507,11.4,26.0,57.4,2.4,0.5
Fruits,100.0,101,1.7,0.6,25.2,2.4,0.0
Grains,100.0,385,13.9,12.0,63.2,9.0,13.5
Vegetables,100.0,198,4.29,0.1,46.06,7.9,1.4
Red Meat,100.0,183,9.13,7.3,20.32,2.4,0.0
Legumes and seeds,100.0,84,8.9,4.4,2.3,0.8,0.3
Sauce,100.0,51,2.6,2.1,5.1,0.4,0.21
Sauce,100.0,276,10.85,11.0,32.85,2.1,2.47
Snacks,100.0,403,9.38,11.0,66.72,7.5,32.45
Fruits,100.0,346,3.89,1.8,88.28,9.9,47.3
Sauce,100.0,446,8.0,24.0,52.1,3.0,17.51
Eggs,100.0,58,2.2,1.5,8.0,0.0,0.0
Grains,100.0,390,6.65,2.2,83.14,1.3,4.85
Dairy,100.0,79,2.64,1.8,13.66,0.4,10.57
Snacks,100.0,467,7.05,18.0,70.07,3.5,38.8
Dairy,100.0,160,4.0,6.0,24.9,2.2,0.0
Sauce,100.0,17,0.85,0.3,3.53,0.4,2.58
Grains,100.0,168,13.19,4.7,18.28,3.3,1.57
Beverages,100.0,352,78.13,1.6,6.25,3.1,0.0
Vegetables,100.0,29,3.06,0.3,5.35,3.0,1.47
Sauce,100.0,43,8.21,1.1,0.0,0.0,0.0
Legumes and seeds,100.0,88,10.07,4.6,1.53,0.9,0.5
Vegetables,100.0,44,4.16,0.7,6.85,0.0,0.0
Grains,100.0,239,8.33,1.0,49.1,4.2,0.0
Beverages,100.0,0,0.0,0.0,0.0,0.0,0.0
Eggs,100.0,264,7.66,14.0,26.7,0.0,0.0
Sauce,100.0,267,16.66,14.0,18.01,0.0,17.36
Fruits,100.0,58,0.44,0.2,13.61,2.8,9.59
Seafood,100.0,46,3.2,2.0,3.8,0.0,0.0
Miscellaneous Ingredients,100.0,441,10.06,18.0,60.34,3.0,1.99
Sauce,100.0,39,1.09,1.1,6.24,0.7,0.52
Fruits,100.0,46,0.06,0.1,11.1,0.4,9.0
Red Meat,100.0,242,15.17,10.0,22.21,1.3,3.84
Snacks,100.0,275,11.48,15.0,23.22,1.3,2.48
Fruits,100.0,165,0.22,0.2,41.97,3.2,38.77
Grains,100.0,305,5.9,8.4,51.0,3.4,17.78
Red Meat,100.0,271,9.41,22.0,8.13,0.0,0.0
Grains,100.0,370,7.11,1.8,79.45,3.9,1.61
Snacks,100.0,423,6.6,17.0,66.9,7.0,35.2
Sauce,100.0,30,0.79,0.3,6.57,0.6,3.97
Red Meat,100.0,183,7.03,6.8,23.37,3.7,2.1
Snacks,100.0,371,6.5,16.0,75.3,14.9,1.2
Condiments,100.0,241,16.52,14.0,11.71,1.1,0.0
Vegetables,100.0,69,1.68,0.1,15.71,2.4,1.15
Red Meat,100.0,89,2.3,0.2,19.59,1.8,1.43
Red Meat,100.0,189,26.85,9.1,0.0,0.0,0.0
Condiments,100.0,67,3.85,2.5,7.16,0.6,2.06
Red Meat,100.0,288,15.39,25.0,0.93,0.0,0.93
Red Meat,100.0,396,13.8,36.0,2.7,0.0,0.0
Fruits,100.0,371,5.4,19.0,47.8,1.9,0.0
Vegetables,100.0,44,1.2,0.1,9.89,1.4,0.0
Snacks,100.0,391,12.5,0.9,83.21,0.0,12.5
Snacks,100.0,462,13.8,29.0,44.9,0.0,0.0
Red Meat,100.0,150,18.73,8.3,0.0,0.0,0.0
Condiments,100.0,48,1.72,3.1,3.32,0.0,0.0
Eggs,100.0,245,5.3,7.4,39.9,1.0,10.1
Eggs,100.0,311,11.27,22.0,19.28,0.8,1.43
Sauce,100.0,93,1.64,2.1,17.08,1.3,5.9
Eggs,100.0,265,5.5,8.7,41.6,1.1,9.3
Snacks,100.0,381,11.0,9.3,71.6,15.3,2.9
Vegetables,100.0,50,3.27,0.4,8.36,2.0,2.01
Seafood,100.0,51,5.71,1.7,2.72,0.0,0.62
Beverages,100.0,85,0.07,0.0,2.61,0.0,0.62
Red Meat,100.0,312,14.11,27.0,2.42,0.0,0.0
Snacks,100.0,403,7.02,18.0,53.38,2.2,17.98
Red Meat,100.0,260,13.7,23.0,0.0,0.0,0.0
Beverages,100.0,2,0.02,0.0,0.44,0.0,0.01
Snacks,100.0,385,8.4,3.2,81.2,2.9,0.0
Red Meat,100.0,240,10.49,7.7,32.28,2.0,8.81
Legumes and seeds,100.0,100,5.85,3.7,10.88,2.9,1.84
Fruits,100.0,95,0.5,0.0,23.17,0.1,19.99
Vegetables,100.0,24,0.81,0.2,5.73,0.9,3.24
Dairy,100.0,398,24.35,33.0,1.91,0.0,0.49
Red Meat,100.0,121,21.1,4.0,0.21,0.0,0.0
Snacks,100.0,490,6.8,22.0,66.3,2.1,7.3
Snacks,100.0,479,4.7,19.0,73.7,1.2,37.8
Eggs,100.0,382,14.61,4.6,70.32,6.8,0.0
Red Meat,100.0,509,9.91,52.0,0.0,0.0,0.0
Fruits,100.0,86,0.4,0.1,22.2,1.1,21.1
Sauce,100.0,54,2.18,1.2,8.66,2.0,3.78
Dairy,100.0,598,7.79,43.0,45.9,10.9,23.99
Legumes and seeds,100.0,517,16.18,38.0,34.29,0.0,0.0
Eggs,100.0,291,7.9,14.0,32.9,0.0,0.0
Poultry,100.0,175,26.15,7.1,0.0,0.0,0.0
Sauce,100.0,25,1.69,0.0,5.08,0.0,0.0
Snacks,100.0,397,0.03,3.3,91.56,0.0,68.48
Condiments,100.0,13,0.0,0.0,3.33,3.3,3.33
Miscellaneous Ingredients,100.0,482,0.68,21.0,75.42,1.2,58.01
Legumes and seeds,100.0,338,21.46,0.7,63.38,19.0,8.5
Miscellaneous Ingredients,100.0,407,4.7,8.7,77.45,0.0,0.0
Beverages,100.0,57,0.0,0.0,14.55,0.1,14.11
Dairy,100.0,97,10.69,3.9,4.61,0.2,2.38
Snacks,100.0,363,14.15,3.1,69.63,5.7,30.07
Snacks,100.0,532,2.94,32.0,56.82,8.8,8.82
Beverages,100.0,125,0.0,0.0,15.7,0.0,0.0
Vegetables,100.0,19,1.36,0.3,2.81,1.3,0.42
Poultry,100.0,258,17.55,20.0,0.0,0.0,0.0
Red Meat,100.0,51,5.1,1.2,5.5,1.1,1.39
Snacks,100.0,451,7.17,18.0,66.27,5.7,30.0
Sauce,100.0,21,0.82,0.0,4.12,0.8,2.88
Beverages,100.0,87,0.1,0.1,21.4,0.0,21.4
Seafood,100.0,154,25.82,4.8,0.0,0.0,0.0
Seafood,100.0,153,24.58,5.3,0.0,0.0,0.0
Red Meat,100.0,59,3.4,2.5,5.7,2.6,2.04
Sauce,100.0,42,0.0,1.7,6.78,0.0,3.39
Grains,100.0,56,2.0,0.5,11.8,2.7,0.0
Dairy,100.0,579,6.12,38.0,52.42,8.0,36.71
Snacks,100.0,424,5.4,19.0,59.1,2.5,0.0
Red Meat,100.0,173,30.77,4.7,0.0,0.0,0.0
Seafood,100.0,424,5.6,42.0,6.0,0.0,0.0
Sauce,100.0,41,1.63,0.4,7.35,1.6,2.45
Vegetables,100.0,41,3.78,0.4,7.86,3.8,0.0
Beverages,100.0,83,0.07,0.0,2.72,0.0,0.79
Vegetables,100.0,93,1.96,0.1,21.55,1.5,1.7
Grains,100.0,332,9.61,2.0,74.48,13.1,1.02
Eggs,100.0,278,6.6,11.0,39.0,1.2,2.9
Poultry,100.0,294,15.05,15.0,24.04,1.7,1.88
Snacks,100.0,519,7.36,27.0,60.81,5.1,2.59
Snacks,100.0,501,7.19,25.0,62.74,4.0,3.03
Red Meat,100.0,114,21.85,2.9,0.0,0.0,0.0
Miscellaneous Ingredients,100.0,363,2.4,3.3,91.5,5.1,0.0
Snacks,100.0,433,1.5,24.0,52.7,2.5,40.0
Grains,100.0,363,10.6,0.8,79.55,2.8,16.63
Vegetables,100.0,34,4.31,0.4,5.74,0.0,0.0
Fruits,100.0,48,0.3,0.1,13.3,1.2,10.15
Eggs,100.0,147,12.33,10.0,1.01,0.0,0.25
Eggs,100.0,48,10.2,0.0,1.04,0.0,0.25
Beverages,100.0,42,0.0,0.3,10.36,0.0,9.94
Sauce,100.0,11,0.51,0.4,1.75,0.3,1.26
Red Meat,100.0,150,29.45,2.7,0.0,0.0,0.0
Seafood,100.0,72,7.4,2.2,5.6,0.0,0.0
Snacks,100.0,445,9.8,16.0,68.0,2.5,3.7
Sauce,100.0,237,12.8,18.0,5.46,1.7,0.0
Seafood,100.0,146,23.14,5.2,0.0,0.0,0.0
Dairy,100.0,126,21.05,0.0,10.53,0.0,5.26
Snacks,100.0,563,5.58,35.0,57.54,4.3,51.71
Snacks,100.0,531,8.51,31.0,58.01,1.7,53.96
Condiments,100.0,375,22.13,31.0,1.73,0.1,0.62
Legumes and seeds,100.0,584,20.78,51.0,20.0,8.6,2.62
Miscellaneous Ingredients,100.0,403,4.25,12.0,69.41,1.2,36.35
Fruits,100.0,206,0.14,0.6,55.83,1.5,52.2
Snacks,100.0,560,6.72,35.0,53.54,4.2,0.34
Eggs,100.0,213,7.4,6.1,32.1,1.1,0.0
Beverages,100.0,4,0.42,0.0,0.42,0.0,0.0
Beverages,100.0,388,55.56,5.6,28.89,6.7,22.22
Red Meat,100.0,521,9.4,53.0,0.0,0.0,0.0
Snacks,100.0,424,12.6,9.5,72.0,14.2,0.92
Beverages,100.0,196,0.22,0.7,49.89,0.3,44.46
Snacks,100.0,385,26.5,7.4,53.15,3.5,1.8
Vegetables,100.0,19,2.6,0.2,3.14,2.1,0.0
Legumes and seeds,100.0,103,5.1,2.6,14.79,4.9,0.89
Fruits,100.0,62,2.6,0.9,10.9,1.8,7.98
Snacks,100.0,386,8.1,3.8,79.9,4.0,0.0
Oil,100.0,900,0.0,100.0,0.0,0.0,0.0
Oil,100.0,900,0.0,100.0,0.0,0.0,0.0
Oil,100.0,900,0.0,100.0,0.0,0.0,0.0
Seafood,100.0,102,21.33,1.2,0.0,0.0,0.0
Snacks,100.0,451,6.7,23.0,66.6,8.5,1.2
Red Meat,100.0,141,18.52,2.7,10.7,0.0,10.68
Red Meat,100.0,184,13.4,15.0,1.1,0.2,0.8
Dairy,100.0,159,4.0,5.6,24.2,0.0,24.0
Poultry,100.0,342,12.05,31.0,3.63,0.0,0.0
Condiments,100.0,256,13.06,12.0,24.97,1.4,0.0
Poultry,100.0,112,13.5,3.0,7.7,0.4,4.0
Snacks,100.0,556,5.54,32.0,60.49,6.5,47.56
Snacks,100.0,502,8.7,25.0,62.6,2.1,1.3
Vegetables,100.0,314,17.9,3.0,68.7,21.3,38.48
Fruits,100.0,105,2.73,1.3,20.72,1.0,12.83
Condiments,100.0,91,4.83,1.3,15.42,6.8,2.49
Snacks,100.0,259,0.01,3.4,46.9,5.3,3.4
Legumes and seeds,100.0,103,8.62,4.3,7.27,1.7,0.61
Red Meat,100.0,101,8.71,3.8,8.03,0.0,0.21
Miscellaneous Ingredients,100.0,403,7.0,22.0,44.6,1.2,0.0
Eggs,100.0,265,3.0,13.0,35.11,3.2,1.49
Poultry,100.0,297,19.62,16.0,17.98,1.0,0.36
Poultry,100.0,234,18.77,17.0,0.0,0.0,0.0
Condiments,100.0,117,5.09,2.5,18.86,2.5,5.09
Eggs,100.0,290,5.4,2.7,61.0,0.5,36.66
Beverages,100.0,46,0.19,0.0,12.76,0.6,12.2
Vegetables,100.0,204,2.22,13.0,21.86,1.7,0.0
Condiments,100.0,125,6.54,2.2,20.18,3.9,6.52
Condiments,100.0,68,3.48,2.1,9.17,0.8,1.5
Miscellaneous Ingredients,100.0,416,3.4,12.0,79.5,2.9,35.71
Eggs,100.0,265,5.5,8.7,41.7,1.1,9.1
Vegetables,100.0,78,2.38,0.2,17.47,1.2,0.78
Snacks,100.0,434,4.0,15.0,76.6,0.0,0.0
Snacks,100.0,503,4.5,24.0,67.7,2.8,32.4
Red Meat,100.0,111,19.0,3.3,0.0,0.0,0.0
Red Meat,100.0,120,19.97,3.9,0.0,0.0,0.0
Red Meat,100.0,122,15.0,3.9,6.8,0.0,0.0
Snacks,100.0,480,7.9,24.0,63.1,5.3,0.0
Vegetables,100.0,22,2.2,0.3,3.9,2.8,0.0
Condiments,100.0,680,0.96,75.0,0.57,0.0,0.57
Seafood,100.0,77,16.52,0.8,0.0,0.0,0.0
Snacks,100.0,441,6.1,14.0,73.1,2.0,10.1
Sauce,100.0,132,0.44,1.4,29.45,0.5,23.49
Grains,100.0,370,7.11,1.8,79.45,3.9,1.61
Fruits,100.0,243,3.9,9.8,34.83,1.8,18.88
Snacks,100.0,532,6.39,34.0,53.83,3.1,0.33
Poultry,100.0,36,2.52,1.2,3.53,0.0,1.58
Dairy,100.0,318,1.25,25.0,23.05,0.0,23.05
Dairy,100.0,64,3.28,3.7,4.65,0.0,0.0
Red Meat,100.0,221,30.2,10.0,0.0,0.0,0.0
Red Meat,100.0,234,30.09,12.0,0.0,0.0,0.0
Dairy,100.0,157,32.14,0.0,7.14,0.0,0.0
Fruits,100.0,53,0.81,0.3,13.34,1.8,10.58
Sauce,100.0,33,1.67,0.0,6.67,0.0,0.0
Miscellaneous Ingredients,100.0,440,10.17,18.0,60.26,2.9,1.98
Dairy,100.0,282,24.69,19.0,3.41,0.0,0.56
Dairy,100.0,239,16.7,14.0,11.6,0.0,7.74
Sauce,100.0,53,3.75,2.4,4.81,0.4,0.21
Condiments,100.0,11,0.33,0.2,2.26,1.2,1.06
Seafood,100.0,115,22.25,2.8,0.0,0.0,0.0
Snacks,100.0,417,8.1,6.9,79.0,3.0,6.0
Snacks,100.0,402,7.9,3.8,84.1,1.7,25.66
Beverages,100.0,52,0.0,0.3,12.25,0.0,11.41
Fruits,100.0,241,3.39,0.5,62.64,7.3,53.44
Fruits,100.0,74,0.24,0.2,19.08,2.7,16.42
Fruits,100.0,89,0.44,0.1,23.12,1.5,21.58
Dairy,100.0,72,12.39,1.0,2.72,0.0,2.72
Dairy,100.0,81,10.45,2.3,4.76,0.0,4.0
Fruits,100.0,48,0.3,0.1,11.4,0.5,9.6
Sauce,100.0,26,0.91,0.2,6.19,1.0,3.52
Miscellaneous Ingredients,100.0,410,0.3,4.9,93.8,0.1,0.0
Fruits,100.0,47,0.29,0.3,12.0,1.3,0.0
Seafood,100.0,208,20.42,13.0,0.0,0.0,0.0
Seafood,100.0,119,15.23,5.9,0.0,0.0,0.0
Snacks,100.0,529,2.6,27.0,68.8,1.3,53.0
Grains,100.0,363,8.46,3.7,76.59,6.4,1.61
Grains,100.0,383,14.13,5.5,68.49,4.9,5.74
Beverages,100.0,383,0.6,0.1,97.3,0.0,97.3
Fruits,100.0,51,0.53,0.1,13.5,1.4,10.32
Poultry,100.0,262,14.46,13.0,22.46,0.8,13.6
Snacks,100.0,455,4.9,16.0,72.6,1.6,35.07
Beverages,100.0,3,0.09,0.0,0.75,0.0,0.0
Fruits,100.0,390,2.31,9.5,73.81,2.4,45.95
Sauce,100.0,6,0.64,0.2,0.44,0.0,0.43
Miscellaneous Ingredients,100.0,237,0.05,0.0,2.41,0.0,0.0
Vegetables,100.0,70,3.98,0.3,13.51,3.5,0.0
Fruits,100.0,116,0.39,0.1,31.2,2.0,28.7
Poultry,100.0,161,22.75,7.1,0.0,0.0,0.0
Sauce,100.0,79,1.96,2.7,13.05,1.7,0.0
Legumes and seeds,100.0,449,43.32,22.0,28.98,8.1,0.0
Grains,100.0,361,11.98,1.7,72.53,2.4,0.31
Red Meat,100.0,255,29.2,15.0,0.0,0.0,0.0
Condiments,100.0,335,10.82,7.3,56.56,10.8,8.67
Poultry,100.0,294,18.47,24.0,0.0,0.0,0.0
Condiments,100.0,110,0.3,4.4,18.6,0.1,16.32
Seafood,100.0,277,11.01,16.0,21.66,1.5,1.65
Vegetables,100.0,198,4.29,0.1,46.06,7.9,1.4
Sauce,100.0,24,1.2,0.3,5.31,1.5,3.56
Miscellaneous Ingredients,100.0,423,4.0,9.8,80.0,0.7,44.21
Fruits,100.0,46,0.8,0.1,10.9,0.1,0.0
Red Meat,100.0,315,12.78,28.0,1.69,0.0,0.0
Snacks,100.0,515,10.24,31.0,55.36,3.6,47.17
Snacks,100.0,538,57.9,32.0,1.6,0.0,0.0
Snacks,100.0,387,8.1,2.4,83.4,0.0,0.0
Eggs,100.0,278,6.6,11.0,39.8,1.2,2.7
Snacks,100.0,496,8.5,27.0,57.7,5.2,0.0
Sauce,100.0,216,8.99,12.0,17.97,2.2,1.23
Snacks,100.0,451,8.1,18.0,63.86,13.7,26.6
Legumes and seeds,100.0,46,2.1,0.2,9.19,3.3,4.08
Snacks,100.0,470,7.3,20.0,67.4,3.7,10.7
Vegetables,100.0,177,15.7,6.3,14.27,4.9,1.07
Snacks,100.0,483,9.8,24.0,62.3,2.9,0.0
Dairy,100.0,265,20.0,20.0,1.37,0.0,0.0
Grains,100.0,358,6.5,0.5,79.15,0.0,0.0
Seafood,100.0,100,20.42,1.4,0.0,0.0,0.0
Legumes and seeds,100.0,587,24.35,50.0,21.26,8.4,4.9
Snacks,100.0,426,7.2,16.0,67.0,12.2,27.2
Beverages,100.0,385,66.67,5.1,17.95,0.0,5.13
Snacks,100.0,515,0.0,24.0,74.39,0.0,42.31
Snacks,100.0,389,12.0,12.0,64.6,8.7,7.3
Legumes and seeds,100.0,97,5.0,1.0,16.9,4.2,5.25
Sauce,100.0,230,12.8,8.4,25.7,3.8,3.3
Red Meat,100.0,108,21.28,2.5,0.15,0.0,0.1
Snacks,100.0,483,4.5,20.0,72.1,1.5,39.3
Eggs,100.0,283,10.77,18.0,22.04,0.6,7.9
Grains,100.0,389,3.41,4.6,86.75,3.3,48.11
Dairy,100.0,282,27.2,18.0,2.0,0.0,0.58
Beverages,100.0,42,0.0,0.0,10.7,0.0,10.7
Beverages,100.0,83,0.07,0.0,2.51,0.0,0.62
Red Meat,100.0,163,16.6,8.6,3.83,1.3,0.0
Beverages,100.0,68,0.0,0.0,10.07,0.0,9.77
Beverages,100.0,231,0.0,0.0,0.0,0.0,0.0
Snacks,100.0,473,8.55,21.0,65.7,3.2,2.15
Grains,100.0,130,2.36,0.2,28.73,0.0,0.0
Poultry,100.0,189,27.0,8.2,0.0,0.0,0.0
Poultry,100.0,174,24.88,7.5,0.0,0.0,0.0
Vegetables,100.0,164,0.89,3.5,32.12,2.1,27.25
Miscellaneous Ingredients,100.0,884,0.0,100.0,0.0,0.0,0.0
Poultry,100.0,113,18.74,3.6,0.0,0.0,0.0
Poultry,100.0,165,26.77,5.2,0.86,0.0,0.0
Poultry,100.0,296,19.25,16.0,18.36,1.2,0.39
Vegetables,100.0,19,0.91,0.3,3.83,0.5,2.78
Grains,100.0,358,6.69,4.0,79.09,9.1,22.5
Fruits,100.0,201,0.05,0.0,51.45,0.2,42.5
Seafood,100.0,257,10.29,12.0,26.69,1.0,3.53
Snacks,100.0,514,5.9,34.0,57.3,4.6,1.1
Red Meat,100.0,230,10.5,19.0,2.6,0.0,0.0
Snacks,100.0,482,5.5,21.0,70.0,3.4,33.9
Sauce,100.0,99,4.25,1.7,16.6,1.9,5.41
Eggs,100.0,229,6.3,3.5,44.9,1.3,4.5
Eggs,100.0,307,13.87,23.0,10.95,0.0,10.3
Sauce,100.0,3,0.21,0.1,0.25,0.0,0.2
Sauce,100.0,126,5.7,4.0,16.8,2.7,1.9
Sauce,100.0,57,4.33,1.9,5.96,0.0,0.0
Legumes and seeds,100.0,18,1.49,0.2,3.55,0.0,0.0
Fruits,100.0,55,1.1,0.2,12.3,6.7,0.0
Sauce,100.0,70,2.35,0.5,14.55,1.4,4.23
Poultry,100.0,144,19.54,6.7,0.0,0.0,0.0
Snacks,100.0,387,1.59,3.3,87.73,0.1,56.32
Vegetables,100.0,60,1.1,0.1,14.0,1.5,4.24
Condiments,100.0,222,0.58,12.0,31.22,1.5,16.86
Vegetables,100.0,28,0.8,0.1,7.0,0.7,6.05
Snacks,100.0,401,7.3,11.0,76.4,9.4,31.7
Miscellaneous Ingredients,100.0,121,3.0,3.2,21.0,3.0,7.0
Sauce,100.0,100,7.0,2.3,13.0,2.6,1.0
Fruits,100.0,127,3.0,3.6,21.6,0.0,19.92
Vegetables,100.0,33,0.83,0.2,8.14,2.5,3.2
Snacks,100.0,503,7.79,23.0,65.32,5.3,1.0
Vegetables,100.0,71,1.32,0.3,17.01,4.0,4.8
Vegetables,100.0,29,3.63,0.6,4.21,2.9,0.65
Sauce,100.0,113,6.0,1.1,19.0,2.5,8.0
Fruits,100.0,53,0.4,0.1,13.99,2.2,11.79
Beverages,100.0,377,15.49,3.0,71.93,7.5,37.65
Seafood,100.0,190,26.63,8.5,0.0,0.0,0.0
Snacks,100.0,452,4.45,27.0,48.6,1.2,25.7
Snacks,100.0,415,0.1,17.0,67.32,0.0,63.54
Red Meat,100.0,187,26.45,8.2,0.0,0.0,0.0
Miscellaneous Ingredients,100.0,105,8.4,1.9,18.1,8.1,0.0
Grains,100.0,253,0.01,3.4,45.0,4.7,3.1
Miscellaneous Ingredients,100.0,179,2.9,8.8,21.9,2.9,0.0
Eggs,100.0,291,9.8,1.5,57.9,1.8,0.0
Vegetables,100.0,35,2.38,0.4,7.18,3.3,1.39
Poultry,100.0,113,21.28,2.5,0.15,0.0,0.1
Miscellaneous Ingredients,100.0,423,3.9,9.5,80.9,0.7,48.95
Sauce,100.0,21,0.82,0.0,4.12,0.8,3.29
Snacks,100.0,382,6.4,9.4,73.7,9.2,4.3
Vegetables,100.0,27,0.96,0.2,5.9,0.0,0.0
Vegetables,100.0,33,2.71,0.7,5.65,4.0,0.0
Beverages,100.0,54,0.48,0.7,11.52,0.0,9.36
Miscellaneous Ingredients,100.0,362,8.77,3.5,73.88,1.8,5.26
Miscellaneous Ingredients,100.0,381,12.6,4.1,73.1,2.5,10.1
Seafood,100.0,184,27.36,7.5,0.0,0.0,0.0
Dairy,100.0,143,3.68,6.2,21.92,0.5,6.09
Fruits,100.0,62,0.2,0.2,16.6,1.8,8.83
Snacks,100.0,448,7.6,18.0,66.4,4.2,0.0
Beverages,100.0,41,0.36,0.0,2.97,0.0,0.0
Red Meat,100.0,213,16.0,14.0,6.9,3.1,1.0
Seafood,100.0,178,24.3,8.2,0.0,0.0,0.0
Snacks,100.0,338,6.2,11.0,53.87,1.3,3.48
Dairy,100.0,283,5.4,1.2,61.0,1.1,34.34
Fruits,100.0,70,0.47,0.1,18.8,1.7,17.14
Miscellaneous Ingredients,100.0,325,40.44,7.6,41.22,26.9,0.0
Condiments,100.0,213,12.63,11.0,16.82,1.3,0.0
Sauce,100.0,45,0.41,1.2,7.76,0.4,4.9
Beverages,100.0,460,5.29,16.0,74.04,1.9,58.2
Beverages,100.0,4,0.07,0.0,0.8,0.6,0.25
Beverages,100.0,263,0.0,0.0,0.0,0.0,0.0
Grains,100.0,342,11.2,2.0,75.2,9.5,0.42
Vegetables,100.0,50,2.48,0.6,10.81,4.9,4.9
Grains,100.0,272,10.75,2.4,51.88,2.2,4.62
Snacks,100.0,475,9.0,24.0,58.9,0.0,0.0
Seafood,100.0,287,12.62,17.0,21.4,0.3,0.0
Grains,100.0,358,6.5,0.5,79.15,2.8,0.0
Grains,100.0,370,6.81,0.6,81.68,2.8,0.0
Sauce,100.0,53,3.8,2.4,6.16,0.3,0.01
Snacks,100.0,215,3.31,4.6,40.32,1.5,4.06
Seafood,100.0,150,22.92,5.8,0.0,0.0,0.0
Beverages,100.0,0,0.0,0.0,0.0,0.0,0.0
Legumes and seeds,100.0,332,4.6,0.5,77.3,77.3,0.0
